"","SiteCode","mean","sd"
"1","Ayora.ES",1.00859895748156,0.126196612943893
"2","GIG",0.596526192094896,0.0856354733183624
"3","P12",0.544097896243194,0.147143677201238
"4","P13",0.482396753809143,0.0692060533891917
"5","PNE_unburned",0.97607977658245,0.101131944374267
"6","Purdue.us",0.800811069897514,0.114023744907914
"7","Sev.mix",1.44764064554518,0.0964759617157057
"8","baddrt.de",0.740933618105449,0.246791445164923
"9","brhill.au",1.65893631776961,0.0844974175919376
"10","brookdale.ca",0.480292411914529,0.0828707711362613
"11","cedarsav.us",1.08285913306335,0.229123062037721
"12","cobar.au",1.35315154177685,0.103178873853446
"13","cowidrt.ca",0.657550601871693,0.18204737882153
"14","dona.ana",1.46504270784178,0.152954759646553
"15","hoide.de",0.718047965006514,0.220793905058462
"16","horacg,cr",0.911580842520107,0.145406690904265
"17","hyide.de",1.13490327606552,0.194119455079504
"18","lygra.no",0.650000701968632,0.219852250189313
"19","nyngan.au",1.4711247071715,0.0947810144013397
"20","passogavia.it",0.577814758035657,0.157875291276463
"21","riomayo.ar",1.56255225386266,0.189694406645295
"22","scruzl.us",1.14167581516701,0.10995950827111
"23","sgsdrt.us",1.1895441295016,0.189333114918234
"24","skotsvar.no",0.267536415299796,0.0488073366519461
"25","ukulingadrt.za",0.818545195965808,0.0964926587892968
"26","wayqe.re",0.193467437673367,0.0699024200695898
