"","X","CoreUniqueID","SiteCode","RainTrt","FieldRep","CoreNum","CoreLabel","TargetWP","TargetGWC","ActualGWC","BD","PD","WHC","Moist","pH","DOC","MBC","SOM","CO2_w1a","CO2_w1b","CO2_w2a","CO2_w2b","CO2_eq","MAP","MAP_CV","MAT","Sand","Silt","Clay","USDA_class","Soil.fresh.wt..g.","rock.fresh.wt..g.","Core.2mm.dry.wt..g.","Core.Vol..cm3.","ANPP","ActualVWC","TargetVWC","theta","m","m_1","n_1","alpha_1","ActualWP"
"1",1,689,"Ayora.ES","Ambient",1,"1","Ayora.es_A_1_1",5,0.210572264282106,0.209424083769633,"0.935194880358561",NA,NA,"20.9424083769633","7.99","0.260699746606346","0.166455211312821",12.2593718338399,"2.60167021626091","1.42068063004088","1.7406806308108","2.21540884416007",1.79225670167058,376.818164026618,17.4413098099339,14.6,17.8218051569013,51.1838977937558,30.9942970493429,"silty clay loam",198.11,"64.5","104.435078534031",180.641577581413,450.6886667,0.211224912561583,0.212382966229464,0.418281974222523,0.1800679376267,5.55345950633982,0.8199320623733,0.100000010672885,5.25774152637692
"2",2,690,"Ayora.ES","Ambient",1,"2","Ayora.es_A_1_2",15,0.185581535624328,0.23696682464455,"1.12354266519889",NA,NA,"23.696682464455","7.77","0.235577767389572","0.453425574460708",19.435736677116,"1.60453923350326","0.918274428983758","1.3687978647673","2.06202783806813",1.44970004393973,376.818164026618,17.4413098099339,14.6,17.8218051569013,51.1838977937558,30.9942970493429,"silty clay loam",258.36,"122.6","109.037440758294",206.16701789183,450.6886667,0.239004492294209,0.187177343358524,0.473292992159373,0.1800679376267,5.55345950633982,0.8199320623733,0.100000010672885,2.97610177318279
"3",3,691,"Ayora.ES","Ambient",1,"3","Ayora.es_A_1_3",1,0.276954284146709,0.272727272727273,"0.962856472770319",NA,NA,"27.2727272727273","7.91","0.287016361135687","0.400668745966734",15.795090715048,"2.69444450976756","2.11270575802122","2.03941157519605","1.55724618640001",1.90312117320576,376.818164026618,17.4413098099339,14.6,17.8218051569013,51.1838977937558,30.9942970493429,"silty clay loam",213.35,"78.1","104.654545454545",189.804556154383,450.6886667,0.275072442949517,0.279335802260422,0.544717207339787,0.1800679376267,5.55345950633982,0.8199320623733,0.100000010672885,1.54496716015938
"4",4,688,"Ayora.ES","Ambient",1,"4","Ayora.es_A_1_4",0.1,0.442314674155124,0.372549019607843,"1.04507326891263",NA,NA,"37.2549019607843","7.93","0.205156212429953","0.0698888416463395",12.957157784744,"2.65893925379737","1.47961254979332","2.93184254376845","2.15101501486062",2.1874900361408,376.818164026618,17.4413098099339,14.6,17.8218051569013,51.1838977937558,30.9942970493429,"silty clay loam",216.65,"129","58.4156862745098",179.332580642417,450.6886667,0.375752552787248,0.446118119231654,0.744090825712519,0.1800679376267,5.55345950633982,0.8199320623733,0.100000010672885,0.322024926134305
"5",5,687,"Ayora.ES","Ambient",1,"5","Ayora.es_A_1_5",0.3,0.359317442778773,0.333333333333333,"1.16841209264715",NA,NA,"33.3333333333333","7.93","0.243643755416621","0.128114733705572",12.5628140703518,"1.70980916817578","2.4325006464381","1.5366007694423","1.18072307170211",1.71660816252751,376.818164026618,17.4413098099339,14.6,17.8218051569013,51.1838977937558,30.9942970493429,"silty clay loam",278.29,"179.5","69.8",213.366501056307,450.6886667,0.336199652493853,0.36240719819161,0.665765475637516,0.1800679376267,5.55345950633982,0.8199320623733,0.100000010672885,0.582404459599557
"6",6,686,"Ayora.ES","Ambient",1,"6","Ayora.es_A_1_6",0.033,0.491245482104362,0.355191256830601,"1.03122068058009",NA,NA,"35.5191256830601","7.87","0.241217989341188","0.0317991506832833",14.7392290249433,"3.06643202153483","4.38039832043854","1.53622161499286","3.37999019182753",3.09887004241964,376.818164026618,17.4413098099339,14.6,17.8218051569013,51.1838977937558,30.9942970493429,"silty clay loam",159.14,"75.2","63.8360655737705",134.826684716562,450.6886667,0.358245531345909,0.495469681117986,0.709422228138336,0.1800679376267,5.55345950633982,0.8199320623733,0.100000010672885,0.418422699025169
"7",8,716,"Ayora.ES","Drought",1,"1","Ayora.es_D_1_1",15,0.185581535624328,0.175,"1.05470670099232",NA,NA,"17.5","7.84","0.241956631589292","0.516382329544991",12.3287671232876,"2.38257284891737","0.738707921405442","2.71618943757751","1.17657283293737",1.54382339730677,376.818164026618,17.4413098099339,14.6,17.8218051569013,51.1838977937558,30.9942970493429,"silty clay loam",193.11,"74.8","101.2275",166.897109721958,315.9133333,0.176504817559273,0.187177343358524,0.349526874709696,0.1800679376267,5.55345950633982,0.8199320623733,0.100000010672885,11.9592241430601
"8",9,717,"Ayora.ES","Drought",1,"2","Ayora.es_D_1_2",0.3,0.359317442778773,0.302127659574468,"0.852422994708791",NA,NA,"30.2127659574468","7.92","0.519433621398446","0.606778679953659",17.3870333988212,"8.2079086941087","5.25703734973603","5.29459962286864","2.16474872866537",4.23879523375668,376.818164026618,17.4413098099339,14.6,17.8218051569013,51.1838977937558,30.9942970493429,"silty clay loam",123.41,"45.5","56.5974468085106",119.773219918111,315.9133333,0.304725642473152,0.36240719819161,0.603438494939536,0.1800679376267,5.55345950633982,0.8199320623733,0.100000010672885,0.947667541931377
"9",10,718,"Ayora.ES","Drought",1,"3","Ayora.es_D_1_3",5,0.210572264282106,0.273504273504273,"0.989468788740805",NA,NA,"27.3504273504273","7.61","0.640000684893572","1.57232258628611",19.3619361936193,"2.22997872654965","2.19612309370577","4.16544928381532","2.04114778609782",2.8009067212063,376.818164026618,17.4413098099339,14.6,17.8218051569013,51.1838977937558,30.9942970493429,"silty clay loam",169.23,"84.1","77.1538461538462",162.970118904971,315.9133333,0.275856125123161,0.212382966229464,0.546269108215397,0.1800679376267,5.55345950633982,0.8199320623733,0.100000010672885,1.52437560004748
"10",11,719,"Ayora.ES","Drought",1,"4","Ayora.es_D_1_4",0.1,0.442314674155124,0.374545454545455,"0.925250486600601",NA,NA,"37.4545454545455","6.72","0.409144808038862","0.922953881190726",12.1212121212121,"10.1033201391195","6.56815021321661","8.83525263186204","8.19252238601494",7.86530841036453,376.818164026618,17.4413098099339,14.6,17.8218051569013,51.1838977937558,30.9942970493429,"silty clay loam",115.25,"65.5","35.0254545454546",108.646745936647,315.9133333,0.377766154984003,0.446118119231654,0.748078298079974,0.1800679376267,5.55345950633982,0.8199320623733,0.100000010672885,0.312416764040228
